,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
7460000,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-09,,,,,-11.0,
7460001,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-10,,,,,-13.0,
7460002,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-11,,,,,-8.0,
7460003,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-12,,,,,-4.0,
7460004,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-13,,,,,20.0,
7460005,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-15,,,,,-9.0,
7460006,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-16,,,,,-10.0,
7460007,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-17,,,,,-7.0,
7460008,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-18,,,,,-4.0,
7460009,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-19,,,,,-5.0,
7460010,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-20,,,,,5.0,
7460011,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-22,,,,,-8.0,
7460012,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-23,,,,,-6.0,
7460013,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-24,,,,,-4.0,
7460014,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-25,,,,,-4.0,
7460015,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-26,,,,,1.0,
7460016,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-27,,,,,19.0,
7460017,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-29,,,,,1.0,
7460018,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-06-30,,,,,0.0,
7460019,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-01,,,,,-4.0,
7460020,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-02,,,,,-1.0,
7460021,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-03,,,,,6.0,
7460022,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-04,,,,,17.0,
7460023,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-06,,,,,0.0,
7460024,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-07,,,,,-2.0,
7460025,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-08,,,,,2.0,
7460026,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-09,,,,,2.0,
7460027,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-10,,,,,3.0,
7460028,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-11,,,,,25.0,
7460029,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-13,,,,,-2.0,
7460030,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-14,,,,,-4.0,
7460031,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-15,,,,,-4.0,
7460032,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-16,,,,,-2.0,
7460033,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-17,,,,,2.0,
7460034,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-18,,,,,17.0,
7460035,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-20,,,,,-2.0,
7460036,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-21,,,,,-6.0,
7460037,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-22,,,,,-11.0,
7460038,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-23,,,,,-4.0,
7460039,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-24,,,,,-12.0,
7460040,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-25,,,,,11.0,
7460041,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-27,,,,,-11.0,
7460042,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-28,,,,,-15.0,
7460043,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-29,,,,,-15.0,
7460044,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-30,,,,,-39.0,
7460045,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-07-31,,,,,-70.0,
7460046,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-01,,,,,-19.0,
7460047,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-03,,,,,-18.0,
7460048,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-04,,,,,-19.0,
7460049,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-05,,,,,-13.0,
7460050,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-06,,,,,-17.0,
7460051,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-07,,,,,-12.0,
7460052,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-08,,,,,17.0,
7460053,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-10,,,,,-58.0,
7460054,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-11,,,,,-61.0,
7460055,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-12,,,,,-16.0,
7460056,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-13,,,,,-15.0,
7460057,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-14,,,,,-9.0,
7460058,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-08-15,,,,,21.0,
7460059,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-11,,,,,3.0,
7460060,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-12,,,,,21.0,
7460061,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-14,,,,,7.0,
7460062,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-15,,,,,5.0,
7460063,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-16,,,,,3.0,
7460064,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-17,,,,,0.0,
7460065,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-18,,,,,7.0,
7460066,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-19,,,,,33.0,
7460067,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-21,,,,,7.0,
7460068,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-22,,,,,4.0,
7460069,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-23,,,,,3.0,
7460070,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-24,,,,,5.0,
7460071,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-25,,,,,7.0,
7460072,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-26,,,,,20.0,
7460073,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-28,,,,,1.0,
7460074,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-29,,,,,1.0,
7460075,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-09-30,,,,,0.0,
7460076,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-01,,,,,5.0,
7460077,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-02,,,,,8.0,
7460078,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-03,,,,,11.0,
7460079,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-05,,,,,1.0,
7460080,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-06,,,,,0.0,
7460081,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-07,,,,,6.0,
7460082,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-08,,,,,7.0,
7460083,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-09,,,,,8.0,
7460084,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-10,,,,,26.0,
7460085,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-12,,,,,6.0,
7460086,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-13,,,,,11.0,
7460087,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-14,,,,,12.0,
7460088,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-15,,,,,10.0,
7460089,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-16,,,,,12.0,
7460090,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-17,,,,,19.0,
7460091,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-19,,,,,13.0,
7460092,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-20,,,,,8.0,
7460093,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-21,,,,,15.0,
7460094,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-22,,,,,17.0,
7460095,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-23,,,,,21.0,
7460096,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-24,,,,,29.0,
7460097,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-26,,,,,17.0,
7460098,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-27,,,,,18.0,
7460099,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-28,,,,,19.0,
7460100,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-29,,,,,25.0,
7460101,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-30,,,,,18.0,
7460102,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-10-31,,,,,30.0,
7460103,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-02,,,,,24.0,
7460104,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-03,,,,,20.0,
7460105,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-04,,,,,21.0,
7460106,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-05,,,,,24.0,
7460107,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-06,,,,,22.0,
